time,Fan,Hair dryer,Lamp,Vacuum,Water kettle
1636804868.10978,0,0,0,0,0
1636804869.13608,0,0,0,0,0
1636804870.16423,0,0,0,0,0
1636804871.19267,0,0,0,0,0
1636804872.22101,0,0,0,0,0
1636804873.24922,0,0,0,0,0
1636804874.27712,0,0,0,1,0
1636804875.30528,0,0,0,1,0
1636804876.3339,0,0,0,1,0
1636804877.36204,0,0,0,1,0
1636804878.39079,0,0,0,1,0
1636804879.4196,0,0,0,1,0
1636804880.4486,0,0,0,1,0
1636804881.48022,0,0,0,1,0
1636804882.50832,0,0,0,1,0
1636804883.53639,1,0,0,1,0
1636804884.56505,1,0,0,1,0
1636804885.59289,1,0,0,1,0
1636804886.62085,1,0,0,1,0
1636804887.64929,1,0,0,1,0
1636804888.67754,1,0,0,1,0
1636804889.70602,1,0,0,1,0
1636804890.73458,1,0,0,1,0
1636804891.76251,1,0,0,1,0
1636804892.79051,1,0,0,1,0
1636804893.81918,1,0,0,1,0
1636804894.84749,1,0,1,1,0
1636804895.8758,1,0,1,1,0
1636804896.90416,1,0,1,1,0
1636804897.93295,1,0,1,1,0
1636804898.96139,1,0,1,1,0
1636804899.98978,1,0,1,1,0
1636804901.01802,1,0,1,1,0
1636804902.04638,1,0,1,1,0
1636804903.07389,1,0,1,1,0
1636804904.10217,1,0,1,1,0
1636804905.13491,1,0,1,1,0
1636804906.16302,1,0,1,1,0
1636804907.19128,0,0,1,1,0
1636804908.21977,0,0,1,1,0
1636804909.24832,0,0,1,1,0
1636804910.27634,0,0,1,1,0
1636804911.30645,0,0,1,1,0
1636804912.3348,0,0,1,1,0
1636804913.36329,0,0,1,1,0
1636804914.39146,0,0,1,1,0
1636804915.41949,0,0,1,0,0
1636804916.44773,0,0,1,0,0
1636804917.47573,0,0,1,0,0
1636804918.50381,0,0,1,0,0
1636804919.53216,0,0,1,0,0
1636804920.5601,0,0,1,0,0
1636804921.58862,0,0,1,0,0
1636804922.61673,0,0,1,0,0
1636804923.64509,0,0,1,0,0
1636804924.67412,0,0,1,0,0
1636804925.70277,0,0,0,0,0
1636804926.7308,0,0,0,0,0
1636804927.75973,0,0,0,0,0
1636804928.78893,0,0,0,0,0
1636804929.81784,0,0,0,0,0
1636804930.84562,0,0,0,0,0
1636804931.87348,0,0,0,0,0
1636804932.90192,0,0,0,0,0
1636804933.93058,0,0,0,0,0
1636804934.95915,0,0,0,0,0
1636804935.98685,0,0,0,0,0
1636804937.0161,1,0,0,0,0
1636804938.04398,1,0,0,0,0
1636804939.07371,1,0,0,0,0
1636804940.10491,1,0,0,0,0
1636804941.13339,1,0,0,0,0
1636804942.1613,1,0,0,0,0
