P,hairdryer,kettle,vacuum,lamp,fan
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0,1,0,0,0,0
0.0,1,0,0,0,0
0.0,1,0,0,0,0
0.0,1,0,0,0,0
0.0,1,0,0,0,0
0.0,1,0,0,0,0
0.0,1,0,0,0,0
0.0,1,0,0,0,0
0.7372799999999999,1,0,0,0,0
1.10592,1,0,0,0,0
0.7372799999999999,1,0,0,0,0
1.4745599999999999,1,0,0,0,0
20.275199999999998,1,0,0,0,0
32.07168,1,0,0,0,0
35.75808,1,0,0,0,0
36.49536,1,0,0,0,0
37.23264,1,0,0,0,0
36.864,1,0,0,0,0
37.23264,1,0,0,0,0
37.23264,1,0,0,0,0
36.864,1,0,0,0,0
37.23264,1,0,0,0,0
36.49536,1,0,0,0,0
36.864,1,0,0,0,0
36.864,1,0,0,0,0
36.49536,1,0,0,0,0
36.864,1,0,0,0,0
36.864,1,0,0,0,0
36.864,1,0,0,0,0
36.864,1,0,0,0,0
36.49536,1,0,0,0,0
36.49536,1,0,0,0,0
36.49536,1,0,0,0,0
36.49536,1,0,0,0,0
36.49536,1,0,0,0,0
36.49536,1,0,0,0,0
36.49536,1,0,0,0,0
36.49536,1,0,0,0,0
36.49536,1,0,0,0,0
36.49536,1,0,0,0,0
36.49536,1,0,0,0,0
36.12672,1,0,0,0,0
36.49536,1,0,0,0,0
36.49536,1,0,0,0,0
36.12672,1,0,0,0,0
37.601279999999996,1,0,0,0,0
38.7072,1,0,0,0,0
37.601279999999996,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,0
36.12672,1,0,0,0,1
36.12672,1,0,0,0,1
36.12672,1,0,0,0,1
36.12672,1,0,0,0,1
36.12672,1,0,0,0,1
36.12672,1,0,0,0,1
36.12672,1,0,0,0,1
36.49536,1,0,0,0,1
38.33856,1,0,0,0,1
38.33856,1,0,0,0,1
37.96992,1,0,0,0,1
38.33856,1,0,0,0,1
37.601279999999996,1,0,0,0,1
36.864,1,0,0,0,1
37.601279999999996,1,0,0,0,1
37.601279999999996,1,0,0,0,1
40.919039999999995,1,0,0,0,1
256.2048,1,0,0,0,1
567.7055999999999,1,0,0,0,1
736.1740799999999,1,0,0,0,1
801.42336,1,0,0,0,1
827.22816,1,0,0,0,1
833.1263999999999,1,0,0,0,1
837.9187199999999,1,0,0,0,1
835.70688,1,0,0,0,1
836.44416,1,0,0,0,1
838.656,1,0,0,0,1
836.44416,1,0,0,0,1
838.656,1,0,0,0,1
837.18144,1,0,0,0,1
839.02464,1,0,0,0,1
837.18144,1,0,0,0,1
839.02464,1,0,0,0,1
837.18144,1,0,0,0,1
838.656,1,0,0,0,1
837.18144,1,0,0,0,1
838.656,1,0,0,0,1
837.18144,1,0,0,0,1
839.02464,1,0,0,0,1
837.18144,1,0,0,0,1
839.02464,1,0,0,0,1
837.18144,1,0,0,0,1
839.02464,1,0,0,0,1
837.18144,1,0,0,0,1
839.3932799999999,1,0,0,0,1
836.8128,1,0,0,0,1
839.02464,1,0,0,0,1
837.18144,1,0,0,0,1
838.2873599999999,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
837.18144,1,0,0,0,1
836.07552,0,0,0,0,1
836.07552,0,0,0,0,1
836.07552,0,0,0,0,1
835.70688,0,0,0,0,1
836.07552,0,0,0,0,1
835.70688,0,0,0,0,1
836.8127999999999,0,0,0,0,1
836.44416,0,0,0,0,1
836.44416,0,0,0,0,1
836.8127999999999,0,0,0,0,1
836.44416,0,0,0,0,1
836.07552,0,0,0,0,1
836.44416,0,0,0,0,1
836.44416,0,0,0,0,1
836.07552,0,0,0,0,1
836.44416,0,0,0,0,1
836.44416,0,0,0,0,1
836.8127999999999,0,0,0,0,1
836.44416,0,0,0,0,1
836.07552,0,0,0,0,1
836.44416,0,0,0,0,1
812.4825599999999,0,0,0,0,1
812.4825599999999,0,0,0,0,1
834.23232,0,0,0,0,1
830.54592,0,0,0,0,1
820.96128,0,0,0,0,1
813.58848,0,0,0,0,1
807.69024,0,0,0,0,1
805.1097599999999,0,0,0,0,1
804.00384,0,0,0,0,1
802.52928,0,0,0,0,1
802.16064,0,0,0,0,1
801.42336,0,0,0,0,1
801.792,0,0,0,0,1
801.42336,0,0,0,0,1
802.16064,0,0,0,0,1
801.42336,0,0,0,0,1
801.42336,0,0,0,0,1
801.42336,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
802.16064,0,0,0,0,1
801.792,0,0,0,0,1
801.05472,0,0,0,0,1
801.42336,0,0,0,0,1
801.792,0,0,0,0,1
801.792,0,0,0,0,1
801.792,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
801.05472,0,0,0,0,1
797.73696,0,0,0,0,0
797.73696,0,0,0,0,0
794.05056,0,0,0,0,0
794.05056,0,0,0,0,0
793.6819199999999,0,0,0,0,0
794.05056,0,0,0,0,0
793.31328,0,0,0,0,0
795.52512,0,0,0,0,0
803.2665599999999,0,0,0,0,0
801.42336,0,0,0,0,0
803.6352,0,0,0,0,0
801.7919999999999,0,0,0,0,0
804.7411199999999,0,0,0,0,0
804.00384,0,0,0,0,0
801.7919999999999,0,0,0,0,0
804.3724800000001,0,0,0,0,0
802.52928,0,0,0,0,0
804.00384,0,0,0,0,0
801.05472,0,0,0,0,0
801.7919999999999,0,0,0,0,0
803.6352,0,0,0,0,0
802.16064,0,0,0,0,0
804.7411199999999,0,0,0,0,0
770.08896,0,0,0,0,0
515.35872,0,0,0,0,0
284.59008,0,0,0,0,0
150.77375999999998,0,0,0,0,0
78.88895999999998,0,0,0,0,0
40.919039999999995,0,0,0,0,0
22.118399999999998,0,0,0,0,0
11.059199999999999,0,0,0,0,0
5.8982399999999995,0,0,0,0,0
3.31776,0,0,0,0,0
1.8431999999999997,0,0,0,0,0
1.10592,0,0,0,0,0
0.7372799999999999,0,0,0,0,0
1.10592,0,0,0,0,0
0.36863999999999997,0,0,0,0,0
1.4745599999999999,0,0,0,0,0
2.21184,0,0,0,0,0
1.4745599999999999,0,0,0,0,0
1.10592,0,0,0,0,0
1.10592,0,0,0,0,0
0.36863999999999997,0,0,0,0,0
0.36863999999999997,0,0,0,0,0
